https://www.youtube.com/watch?v=2Md5lPyuvsk	0
https://www.youtube.com/watch?v=453ei_1PbPE	0
https://www.youtube.com/watch?v=e01a4-ClcTs	0
https://www.youtube.com/watch?v=o_QWuyX8U18	0
https://www.youtube.com/watch?v=o3zD6HbcblA	0
https://www.youtube.com/watch?v=OmrA8nOZF2Q	0
https://www.youtube.com/watch?v=OWOBAD4OKwA	0
https://www.youtube.com/watch?v=B-XHdkCsc5U	0
https://www.youtube.com/watch?v=RsCoPb43TUk	0
https://www.youtube.com/watch?v=__kJ7HsL10Y	0
https://www.youtube.com/watch?v=TYWMe7cTsRs	0
https://www.youtube.com/watch?v=ws3PcFqBLdQ	0
https://www.youtube.com/watch?v=glzTAb58u2M	0
https://www.youtube.com/watch?v=aNN9nL2vppM	0
https://www.youtube.com/watch?v=brvGSr_BfQw	0
https://www.youtube.com/watch?v=9Mj3mvkIyg8	0
https://www.youtube.com/watch?v=geMg2QxNml8	0
https://www.youtube.com/watch?v=_WJThbomts0	0
https://www.youtube.com/watch?v=pvVNY2YC5zI	0
https://www.youtube.com/watch?v=QXAYIYdvnys	0
https://www.youtube.com/watch?v=5ecTR_nQzkg	0
https://www.youtube.com/watch?v=TCFnaU88FZM	0
https://www.youtube.com/watch?v=B-xG3D8OMQk	0
https://www.youtube.com/watch?v=9kc6UYdC5nY	0
https://www.youtube.com/watch?v=8EuTbKjanvQ	0
https://www.youtube.com/watch?v=DWUE-aWnL8Y	0
https://www.youtube.com/watch?v=AtUBeFiWi8Q	0
https://www.youtube.com/watch?v=z9Cym8YHP94	0
https://www.youtube.com/watch?v=bsdxZOsqG6U	0
https://www.youtube.com/watch?v=vukxkPTuVNI	0
https://www.youtube.com/watch?v=DV6X7POhdoo	0
https://www.youtube.com/watch?v=HmRQvoMCfH4	0
https://www.youtube.com/watch?v=jMqcA3wiKG0	0
https://www.youtube.com/watch?v=y7ROJjWS2L0	1
https://www.youtube.com/watch?v=O-9xmen--6k	2
https://www.youtube.com/watch?v=qw6_5t8XfSk	2
https://www.youtube.com/watch?v=oVDf3PvWN04	2
https://www.youtube.com/watch?v=b3Z5pAZe0E8	2
https://www.youtube.com/watch?v=SsL9v1vuzAI	2
https://www.youtube.com/watch?v=56D1U2G_ueg	2
https://www.youtube.com/watch?v=0tteHhYh9rU	3
https://www.youtube.com/watch?v=n4OAtMEXNfc	3
https://www.youtube.com/watch?v=rqp6S6qgVg8	3
https://www.youtube.com/watch?v=QRmPD2nMnBc	4
https://www.youtube.com/watch?v=tE9U4mMqKP4	4
https://www.youtube.com/watch?v=Nfh92hKLO6c	4
https://www.youtube.com/watch?v=DLGac1KQbsU	4
https://www.youtube.com/watch?v=PKvNCP76fvM	4.5
https://www.youtube.com/watch?v=SlR_fwcU3MU	4.5
https://www.youtube.com/watch?v=uVsTeLs4Tdo	4.5
https://www.youtube.com/watch?v=OkT_d2OTgv0	4.5
https://www.youtube.com/watch?v=bRKqFFIw18w	5
https://www.youtube.com/watch?v=LjBIJGMum9A	5
https://www.youtube.com/watch?v=VX5au0LOJp8	5
https://www.youtube.com/watch?v=ROzC0-LD1P8	5
https://www.youtube.com/watch?v=biEjueDCnqM	5
https://www.youtube.com/watch?v=cDkZqT9IvYE	5
https://www.youtube.com/watch?v=ycbHldRpo9k	6
https://www.youtube.com/watch?v=43_vQdp2k_o	6
https://www.youtube.com/watch?v=tO0L-7lkhPM	6
https://www.youtube.com/watch?v=TW9eDrgM3Xw	6
https://www.youtube.com/watch?v=lvBCvA1LE8o	6
https://www.youtube.com/watch?v=n6sAGZ5F7Cc	6
https://www.youtube.com/watch?v=rCwn1NTK-50	6
https://www.youtube.com/watch?v=Kx48dmDB28U	6.333333333
https://www.youtube.com/watch?v=psgJqcvkTuE	7
https://www.youtube.com/watch?v=yX-TZe8SeYk	7
https://www.youtube.com/watch?v=3T_xq0U5D5Y	7
https://www.youtube.com/watch?v=b2UUhm4edyc	7
https://www.youtube.com/watch?v=z1rCMzkbhmc	7
https://www.youtube.com/watch?v=j_YJysHv3OM	7
